"trial","dataset","model","score"
"36","linear","NN","0.875"
"36","linear","NN + L2","0.85"
"36","linear","NN + Scale Invariant","0.85"
"37","moons","Random Forest","0.925"
"37","moons","Linear Discriminant Analysis","0.8"
"37","moons","NN","0.825"
"37","moons","NN + L2","0.85"
"37","moons","NN + Scale Invariant","0.8"
"37","circles","Random Forest","0.75"
"37","circles","Linear Discriminant Analysis","0.5"
"37","circles","NN","0.75"
"37","circles","NN + L2","0.65"
"37","circles","NN + Scale Invariant","0.8"
"37","linear","Random Forest","0.85"
"37","linear","Linear Discriminant Analysis","0.925"
"37","linear","NN","0.925"
"37","linear","NN + L2","0.9"
"37","linear","NN + Scale Invariant","0.925"
"38","moons","Random Forest","0.925"
"38","moons","Linear Discriminant Analysis","0.85"
"38","moons","NN","0.85"
"38","moons","NN + L2","0.85"
"38","moons","NN + Scale Invariant","0.85"
"38","circles","Random Forest","0.8"
"38","circles","Linear Discriminant Analysis","0.55"
"38","circles","NN","0.675"
"38","circles","NN + L2","0.5"
"38","circles","NN + Scale Invariant","0.7"
"38","linear","Random Forest","0.875"
"38","linear","Linear Discriminant Analysis","0.875"
"38","linear","NN","0.95"
"38","linear","NN + L2","0.85"
"38","linear","NN + Scale Invariant","0.85"
"39","moons","Random Forest","0.875"
"39","moons","Linear Discriminant Analysis","0.8"
"39","moons","NN","0.8"
"39","moons","NN + L2","0.825"
"39","moons","NN + Scale Invariant","0.8"
"39","circles","Random Forest","0.875"
"39","circles","Linear Discriminant Analysis","0.55"
"39","circles","NN","0.675"
"39","circles","NN + L2","0.625"
"39","circles","NN + Scale Invariant","0.7"
"39","linear","Random Forest","0.9"
"39","linear","Linear Discriminant Analysis","0.85"
"39","linear","NN","0.875"
"39","linear","NN + L2","0.85"
"39","linear","NN + Scale Invariant","0.85"
"40","moons","Random Forest","0.85"
"40","moons","Linear Discriminant Analysis","0.8"
"40","moons","NN","0.8"
"40","moons","NN + L2","0.8"
"40","moons","NN + Scale Invariant","0.8"
"40","circles","Random Forest","0.9"
"40","circles","Linear Discriminant Analysis","0.225"
"40","circles","NN","0.725"
"40","circles","NN + L2","0.5"
"40","circles","NN + Scale Invariant","0.675"
"40","linear","Random Forest","0.85"
"40","linear","Linear Discriminant Analysis","0.85"
"40","linear","NN","0.85"
"40","linear","NN + L2","0.825"
"40","linear","NN + Scale Invariant","0.85"
"41","moons","Random Forest","0.875"
"41","moons","Linear Discriminant Analysis","0.875"
"41","moons","NN","0.85"
"41","moons","NN + L2","0.85"
"41","moons","NN + Scale Invariant","0.875"
"41","circles","Random Forest","0.825"
"41","circles","Linear Discriminant Analysis","0.525"
"41","circles","NN","0.675"
"41","circles","NN + L2","0.7"
"41","circles","NN + Scale Invariant","0.625"
"41","linear","Random Forest","0.875"
"41","linear","Linear Discriminant Analysis","0.9"
"41","linear","NN","0.875"
"41","linear","NN + L2","0.725"
"41","linear","NN + Scale Invariant","0.9"
"42","moons","Random Forest","0.875"
"42","moons","Linear Discriminant Analysis","0.85"
"42","moons","NN","0.875"
"42","moons","NN + L2","0.775"
"42","moons","NN + Scale Invariant","0.775"
"42","circles","Random Forest","0.675"
"42","circles","Linear Discriminant Analysis","0.425"
"42","circles","NN","0.525"
"42","circles","NN + L2","0.6"
"42","circles","NN + Scale Invariant","0.475"
"42","linear","Random Forest","0.875"
"42","linear","Linear Discriminant Analysis","0.95"
"42","linear","NN","0.925"
"42","linear","NN + L2","0.925"
"42","linear","NN + Scale Invariant","0.95"
"43","moons","Random Forest","0.8"
"43","moons","Linear Discriminant Analysis","0.775"
"43","moons","NN","0.8"
"43","moons","NN + L2","0.75"
"43","moons","NN + Scale Invariant","0.8"
"43","circles","Random Forest","0.725"
"43","circles","Linear Discriminant Analysis","0.5"
"43","circles","NN","0.7"
"43","circles","NN + L2","0.525"
"43","circles","NN + Scale Invariant","0.6"
"43","linear","Random Forest","0.9"
"43","linear","Linear Discriminant Analysis","0.875"
"43","linear","NN","0.875"
"43","linear","NN + L2","0.85"
"43","linear","NN + Scale Invariant","0.875"
"44","moons","Random Forest","0.875"
