"trial","dataset","model","score"
"39","linear","NN + L2","1.0"
"39","linear","NN + Scale Invariant","1.0"
"40","moons","Random Forest","0.4"
"40","moons","Linear Discriminant Analysis","0.8"
"40","moons","NN","0.7"
"40","moons","NN + L2","0.7"
"40","moons","NN + Scale Invariant","0.8"
"40","circles","Random Forest","0.5"
"40","circles","Linear Discriminant Analysis","0.4"
"40","circles","NN","0.5"
"40","circles","NN + L2","0.3"
"40","circles","NN + Scale Invariant","0.6"
"40","linear","Random Forest","0.7"
"40","linear","Linear Discriminant Analysis","0.9"
"40","linear","NN","0.9"
"40","linear","NN + L2","0.9"
"40","linear","NN + Scale Invariant","0.8"
"41","moons","Random Forest","0.8"
"41","moons","Linear Discriminant Analysis","0.8"
"41","moons","NN","0.7"
"41","moons","NN + L2","0.9"
"41","moons","NN + Scale Invariant","0.8"
"41","circles","Random Forest","0.8"
"41","circles","Linear Discriminant Analysis","0.5"
"41","circles","NN","0.7"
"41","circles","NN + L2","0.7"
"41","circles","NN + Scale Invariant","0.4"
"41","linear","Random Forest","1.0"
"41","linear","Linear Discriminant Analysis","0.9"
"41","linear","NN","0.9"
"41","linear","NN + L2","0.9"
"41","linear","NN + Scale Invariant","0.9"
"42","moons","Random Forest","0.9"
"42","moons","Linear Discriminant Analysis","0.8"
"42","moons","NN","0.9"
"42","moons","NN + L2","0.6"
"42","moons","NN + Scale Invariant","0.9"
"42","circles","Random Forest","0.6"
"42","circles","Linear Discriminant Analysis","0.4"
"42","circles","NN","0.4"
"42","circles","NN + L2","0.3"
"42","circles","NN + Scale Invariant","0.5"
"42","linear","Random Forest","0.9"
"42","linear","Linear Discriminant Analysis","0.9"
"42","linear","NN","0.9"
"42","linear","NN + L2","0.9"
"42","linear","NN + Scale Invariant","0.7"
"43","moons","Random Forest","0.8"
"43","moons","Linear Discriminant Analysis","0.9"
"43","moons","NN","0.9"
"43","moons","NN + L2","0.9"
"43","moons","NN + Scale Invariant","0.9"
"43","circles","Random Forest","0.5"
"43","circles","Linear Discriminant Analysis","0.4"
"43","circles","NN","0.4"
"43","circles","NN + L2","0.6"
"43","circles","NN + Scale Invariant","0.5"
"43","linear","Random Forest","0.8"
"43","linear","Linear Discriminant Analysis","0.9"
"43","linear","NN","1.0"
"43","linear","NN + L2","1.0"
"43","linear","NN + Scale Invariant","0.9"
"44","moons","Random Forest","0.7"
"44","moons","Linear Discriminant Analysis","0.7"
"44","moons","NN","0.7"
"44","moons","NN + L2","0.7"
"44","moons","NN + Scale Invariant","0.7"
"44","circles","Random Forest","0.5"
"44","circles","Linear Discriminant Analysis","0.3"
"44","circles","NN","0.3"
"44","circles","NN + L2","0.3"
"44","circles","NN + Scale Invariant","0.3"
"44","linear","Random Forest","0.9"
"44","linear","Linear Discriminant Analysis","0.9"
"44","linear","NN","0.9"
"44","linear","NN + L2","0.9"
"44","linear","NN + Scale Invariant","0.9"
"45","moons","Random Forest","0.8"
"45","moons","Linear Discriminant Analysis","0.8"
"45","moons","NN","0.8"
"45","moons","NN + L2","0.8"
"45","moons","NN + Scale Invariant","0.8"
"45","circles","Random Forest","0.8"
"45","circles","Linear Discriminant Analysis","0.4"
"45","circles","NN","0.4"
"45","circles","NN + L2","0.4"
"45","circles","NN + Scale Invariant","0.4"
"45","linear","Random Forest","0.9"
"45","linear","Linear Discriminant Analysis","1.0"
"45","linear","NN","1.0"
"45","linear","NN + L2","1.0"
"45","linear","NN + Scale Invariant","1.0"
"46","moons","Random Forest","0.7"
"46","moons","Linear Discriminant Analysis","0.6"
"46","moons","NN","0.6"
"46","moons","NN + L2","0.6"
"46","moons","NN + Scale Invariant","0.6"
"46","circles","Random Forest","0.6"
"46","circles","Linear Discriminant Analysis","0.3"
"46","circles","NN","0.3"
"46","circles","NN + L2","0.4"
"46","circles","NN + Scale Invariant","0.3"
"46","linear","Random Forest","0.9"
"46","linear","Linear Discriminant Analysis","0.8"
"46","linear","NN","0.8"
"46","linear","NN + L2","0.9"
"46","linear","NN + Scale Invariant","0.8"
"47","moons","Random Forest","0.8"
"47","moons","Linear Discriminant Analysis","0.8"
"47","moons","NN","0.8"
"47","moons","NN + L2","0.8"
"47","moons","NN + Scale Invariant","0.7"
"47","circles","Random Forest","0.9"
"47","circles","Linear Discriminant Analysis","0.1"
"47","circles","NN","0.4"
"47","circles","NN + L2","0.4"
"47","circles","NN + Scale Invariant","0.5"
"47","linear","Random Forest","0.8"
"47","linear","Linear Discriminant Analysis","0.8"
"47","linear","NN","0.8"
"47","linear","NN + L2","0.8"
"47","linear","NN + Scale Invariant","0.8"
"48","moons","Random Forest","0.9"
"48","moons","Linear Discriminant Analysis","0.9"
"48","moons","NN","0.7"
"48","moons","NN + L2","0.7"
"48","moons","NN + Scale Invariant","0.7"
"48","circles","Random Forest","0.4"
"48","circles","Linear Discriminant Analysis","0.3"
"48","circles","NN","0.4"
"48","circles","NN + L2","0.4"
"48","circles","NN + Scale Invariant","0.4"
"48","linear","Random Forest","0.5"
"48","linear","Linear Discriminant Analysis","0.6"
"48","linear","NN","0.7"
"48","linear","NN + L2","0.5"
"48","linear","NN + Scale Invariant","0.6"
"49","moons","Random Forest","1.0"
"49","moons","Linear Discriminant Analysis","0.8"
"49","moons","NN","0.8"
"49","moons","NN + L2","0.8"
"49","moons","NN + Scale Invariant","0.8"
"49","circles","Random Forest","0.5"
