"trial","dataset","model","missclassification"
"20","linear","NN + Offset Invariant","0.15"
"20","xor","Random Forest","0.25"
"20","xor","Linear Discriminant Analysis","0.55"
"20","xor","NN","0.325"
"20","xor","NN + L2","0.55"
"20","xor","NN + Scale Invariant","0.225"
"20","xor","NN + Offset Invariant","0.275"
"21","moons","Random Forest","0.05"
"21","moons","Linear Discriminant Analysis","0.15"
"21","moons","NN","0.15"
"21","moons","NN + L2","0.55"
"21","moons","NN + Scale Invariant","0.15"
"21","moons","NN + Offset Invariant","0.125"
"21","circles","Random Forest","0.075"
"21","circles","Linear Discriminant Analysis","0.7"
"21","circles","NN","0.525"
"21","circles","NN + L2","0.575"
"21","circles","NN + Scale Invariant","0.475"
"21","circles","NN + Offset Invariant","0.625"
"21","linear","Random Forest","0.175"
"21","linear","Linear Discriminant Analysis","0.175"
"21","linear","NN","0.15"
"21","linear","NN + L2","0.325"
"21","linear","NN + Scale Invariant","0.125"
"21","linear","NN + Offset Invariant","0.15"
"21","xor","Random Forest","0.225"
"21","xor","Linear Discriminant Analysis","0.4"
"21","xor","NN","0.25"
"21","xor","NN + L2","0.475"
"21","xor","NN + Scale Invariant","0.175"
"21","xor","NN + Offset Invariant","0.175"
"22","moons","Random Forest","0.125"
"22","moons","Linear Discriminant Analysis","0.15"
"22","moons","NN","0.175"
"22","moons","NN + L2","0.525"
"22","moons","NN + Scale Invariant","0.125"
"22","moons","NN + Offset Invariant","0.175"
"22","circles","Random Forest","0.275"
"22","circles","Linear Discriminant Analysis","0.45"
"22","circles","NN","0.3"
"22","circles","NN + L2","0.575"
"22","circles","NN + Scale Invariant","0.275"
"22","circles","NN + Offset Invariant","0.425"
"22","linear","Random Forest","0.225"
"22","linear","Linear Discriminant Analysis","0.3"
"22","linear","NN","0.225"
"22","linear","NN + L2","0.475"
"22","linear","NN + Scale Invariant","0.25"
"22","linear","NN + Offset Invariant","0.225"
"22","xor","Random Forest","0.35"
"22","xor","Linear Discriminant Analysis","0.475"
"22","xor","NN","0.35"
"22","xor","NN + L2","0.575"
"22","xor","NN + Scale Invariant","0.3"
"22","xor","NN + Offset Invariant","0.325"
"23","moons","Random Forest","0.025"
"23","moons","Linear Discriminant Analysis","0.075"
"23","moons","NN","0.1"
"23","moons","NN + L2","0.175"
"23","moons","NN + Scale Invariant","0.075"
"23","moons","NN + Offset Invariant","0.075"
"23","circles","Random Forest","0.2"
"23","circles","Linear Discriminant Analysis","0.425"
"23","circles","NN","0.5"
"23","circles","NN + L2","0.525"
"23","circles","NN + Scale Invariant","0.2"
"23","circles","NN + Offset Invariant","0.175"
"23","linear","Random Forest","0.25"
"23","linear","Linear Discriminant Analysis","0.2"
"23","linear","NN","0.225"
"23","linear","NN + L2","0.25"
"23","linear","NN + Scale Invariant","0.2"
"23","linear","NN + Offset Invariant","0.275"
"23","xor","Random Forest","0.55"
"23","xor","Linear Discriminant Analysis","0.6"
"23","xor","NN","0.15"
"23","xor","NN + L2","0.5"
"23","xor","NN + Scale Invariant","0.15"
"23","xor","NN + Offset Invariant","0.225"
"24","moons","Random Forest","0.075"
"24","moons","Linear Discriminant Analysis","0.125"
"24","moons","NN","0.175"
"24","moons","NN + L2","0.55"
"24","moons","NN + Scale Invariant","0.125"
"24","moons","NN + Offset Invariant","0.125"
"24","circles","Random Forest","0.2"
"24","circles","Linear Discriminant Analysis","0.625"
"24","circles","NN","0.225"
"24","circles","NN + L2","0.525"
"24","circles","NN + Scale Invariant","0.475"
"24","circles","NN + Offset Invariant","0.425"
"24","linear","Random Forest","0.2"
"24","linear","Linear Discriminant Analysis","0.15"
"24","linear","NN","0.15"
"24","linear","NN + L2","0.5"
"24","linear","NN + Scale Invariant","0.125"
"24","linear","NN + Offset Invariant","0.175"
"24","xor","Random Forest","0.4"
"24","xor","Linear Discriminant Analysis","0.5"
"24","xor","NN","0.3"
"24","xor","NN + L2","0.5"
"24","xor","NN + Scale Invariant","0.25"
"24","xor","NN + Offset Invariant","0.3"
"25","moons","Random Forest","0.15"
"25","moons","Linear Discriminant Analysis","0.175"
"25","moons","NN","0.175"
"25","moons","NN + L2","0.525"
"25","moons","NN + Scale Invariant","0.175"
"25","moons","NN + Offset Invariant","0.2"
"25","circles","Random Forest","0.175"
"25","circles","Linear Discriminant Analysis","0.475"
"25","circles","NN","0.375"
"25","circles","NN + L2","0.575"
"25","circles","NN + Scale Invariant","0.325"
"25","circles","NN + Offset Invariant","0.225"
"25","linear","Random Forest","0.125"
"25","linear","Linear Discriminant Analysis","0.125"
"25","linear","NN","0.075"
"25","linear","NN + L2","0.5"
"25","linear","NN + Scale Invariant","0.1"
"25","linear","NN + Offset Invariant","0.075"
"25","xor","Random Forest","0.2"
"25","xor","Linear Discriminant Analysis","0.55"
"25","xor","NN","0.15"
"25","xor","NN + L2","0.475"
"25","xor","NN + Scale Invariant","0.2"
"25","xor","NN + Offset Invariant","0.2"
"26","moons","Random Forest","0.175"
"26","moons","Linear Discriminant Analysis","0.175"
"26","moons","NN","0.175"
"26","moons","NN + L2","0.525"
"26","moons","NN + Scale Invariant","0.175"
"26","moons","NN + Offset Invariant","0.15"
"26","circles","Random Forest","0.175"
"26","circles","Linear Discriminant Analysis","0.625"
"26","circles","NN","0.475"
"26","circles","NN + L2","0.55"
"26","circles","NN + Scale Invariant","0.575"
"26","circles","NN + Offset Invariant","0.325"
"26","linear","Random Forest","0.125"
"26","linear","Linear Discriminant Analysis","0.125"
"26","linear","NN","0.1"
"26","linear","NN + L2","0.55"
"26","linear","NN + Scale Invariant","0.1"
"26","linear","NN + Offset Invariant","0.125"
"26","xor","Random Forest","0.225"
"26","xor","Linear Discriminant Analysis","0.625"
"26","xor","NN","0.2"
"26","xor","NN + L2","0.575"
"26","xor","NN + Scale Invariant","0.15"
