"trial","dataset","model","missclassification"
"49","xor","NN + L2","0.25"
"49","xor","NN + Scale","0.075"
"49","xor","NN + Offset","0.125"
"50","moons","NN","0.225"
"50","moons","NN + L2","0.225"
"50","moons","NN + Scale","0.3"
"50","moons","NN + Offset","0.225"
"50","circles","NN","0.325"
"50","circles","NN + L2","0.425"
"50","circles","NN + Scale","0.525"
"50","circles","NN + Offset","0.35"
"50","linear","NN","0.175"
"50","linear","NN + L2","0.225"
"50","linear","NN + Scale","0.375"
"50","linear","NN + Offset","0.225"
"50","xor","NN","0.175"
"50","xor","NN + L2","0.2"
"50","xor","NN + Scale","0.25"
"50","xor","NN + Offset","0.05"
"51","moons","NN","0.1"
"51","moons","NN + L2","0.125"
"51","moons","NN + Scale","0.15"
"51","moons","NN + Offset","0.05"
"51","circles","NN","0.4"
"51","circles","NN + L2","0.2"
"51","circles","NN + Scale","0.4"
"51","circles","NN + Offset","0.4"
"51","linear","NN","0.1"
"51","linear","NN + L2","0.15"
"51","linear","NN + Scale","0.15"
"51","linear","NN + Offset","0.275"
"51","xor","NN","0.325"
"51","xor","NN + L2","0.275"
"51","xor","NN + Scale","0.25"
