"trial","dataset","model","missclassification"
"37","linear","NN","0.15"
"37","linear","NN + L2","0.125"
"37","linear","NN + Scale","0.125"
"37","linear","NN + Offset","0.125"
"37","xor","NN","0.275"
"37","xor","NN + L2","0.15"
"37","xor","NN + Scale","0.1"
"37","xor","NN + Offset","0.175"
"38","moons","NN","0.2"
"38","moons","NN + L2","0.2"
"38","moons","NN + Scale","0.175"
"38","moons","NN + Offset","0.2"
"38","circles","NN","0.625"
"38","circles","NN + L2","0.45"
"38","circles","NN + Scale","0.375"
"38","circles","NN + Offset","0.2"
"38","linear","NN","0.05"
"38","linear","NN + L2","0.05"
"38","linear","NN + Scale","0.05"
"38","linear","NN + Offset","0.05"
"38","xor","NN","0.15"
"38","xor","NN + L2","0.15"
"38","xor","NN + Scale","0.225"
"38","xor","NN + Offset","0.125"
"39","moons","NN","0.2"
"39","moons","NN + L2","0.225"
"39","moons","NN + Scale","0.2"
"39","moons","NN + Offset","0.2"
"39","circles","NN","0.525"
"39","circles","NN + L2","0.3"
"39","circles","NN + Scale","0.25"
"39","circles","NN + Offset","0.475"
"39","linear","NN","0.0"
"39","linear","NN + L2","0.0"
"39","linear","NN + Scale","0.0"
"39","linear","NN + Offset","0.0"
"39","xor","NN","0.125"
"39","xor","NN + L2","0.075"
"39","xor","NN + Scale","0.2"
"39","xor","NN + Offset","0.075"
"40","moons","NN","0.2"
"40","moons","NN + L2","0.2"
"40","moons","NN + Scale","0.2"
"40","moons","NN + Offset","0.2"
"40","circles","NN","0.275"
"40","circles","NN + L2","0.35"
"40","circles","NN + Scale","0.425"
"40","circles","NN + Offset","0.4"
"40","linear","NN","0.025"
"40","linear","NN + L2","0.0"
"40","linear","NN + Scale","0.0"
"40","linear","NN + Offset","0.0"
"40","xor","NN","0.3"
"40","xor","NN + L2","0.3"
"40","xor","NN + Scale","0.325"
"40","xor","NN + Offset","0.3"
"41","moons","NN","0.125"
"41","moons","NN + L2","0.225"
"41","moons","NN + Scale","0.15"
"41","moons","NN + Offset","0.125"
"41","circles","NN","0.475"
"41","circles","NN + L2","0.425"
"41","circles","NN + Scale","0.425"
"41","circles","NN + Offset","0.3"
"41","linear","NN","0.25"
"41","linear","NN + L2","0.25"
"41","linear","NN + Scale","0.375"
"41","linear","NN + Offset","0.175"
"41","xor","NN","0.05"
"41","xor","NN + L2","0.075"
"41","xor","NN + Scale","0.3"
"41","xor","NN + Offset","0.075"
"42","moons","NN","0.1"
"42","moons","NN + L2","0.175"
"42","moons","NN + Scale","0.075"
"42","moons","NN + Offset","0.1"
"42","circles","NN","0.325"
"42","circles","NN + L2","0.25"
"42","circles","NN + Scale","0.525"
"42","circles","NN + Offset","0.45"
"42","linear","NN","0.1"
"42","linear","NN + L2","0.125"
"42","linear","NN + Scale","0.15"
"42","linear","NN + Offset","0.125"
"42","xor","NN","0.275"
"42","xor","NN + L2","0.275"
"42","xor","NN + Scale","0.25"
"42","xor","NN + Offset","0.2"
"43","moons","NN","0.2"
"43","moons","NN + L2","0.175"
"43","moons","NN + Scale","0.175"
"43","moons","NN + Offset","0.2"
"43","circles","NN","0.3"
"43","circles","NN + L2","0.275"
"43","circles","NN + Scale","0.375"
"43","circles","NN + Offset","0.425"
"43","linear","NN","0.225"
"43","linear","NN + L2","0.15"
"43","linear","NN + Scale","0.15"
"43","linear","NN + Offset","0.15"
"43","xor","NN","0.125"
"43","xor","NN + L2","0.125"
"43","xor","NN + Scale","0.275"
"43","xor","NN + Offset","0.175"
"44","moons","NN","0.2"
"44","moons","NN + L2","0.15"
"44","moons","NN + Scale","0.15"
"44","moons","NN + Offset","0.175"
"44","circles","NN","0.25"
"44","circles","NN + L2","0.475"
"44","circles","NN + Scale","0.2"
"44","circles","NN + Offset","0.275"
"44","linear","NN","0.275"
"44","linear","NN + L2","0.275"
"44","linear","NN + Scale","0.25"
"44","linear","NN + Offset","0.275"
"44","xor","NN","0.2"
"44","xor","NN + L2","0.15"
"44","xor","NN + Scale","0.225"
"44","xor","NN + Offset","0.45"
"45","moons","NN","0.175"
"45","moons","NN + L2","0.15"
"45","moons","NN + Scale","0.125"
"45","moons","NN + Offset","0.15"
"45","circles","NN","0.275"
"45","circles","NN + L2","0.425"
"45","circles","NN + Scale","0.525"
"45","circles","NN + Offset","0.325"
"45","linear","NN","0.025"
"45","linear","NN + L2","0.025"
"45","linear","NN + Scale","0.025"
"45","linear","NN + Offset","0.025"
"45","xor","NN","0.175"
"45","xor","NN + L2","0.125"
"45","xor","NN + Scale","0.125"
"45","xor","NN + Offset","0.15"
"46","moons","NN","0.125"
"46","moons","NN + L2","0.125"
"46","moons","NN + Scale","0.125"
"46","moons","NN + Offset","0.125"
"46","circles","NN","0.375"
"46","circles","NN + L2","0.325"
"46","circles","NN + Scale","0.5"
"46","circles","NN + Offset","0.5"
"46","linear","NN","0.05"
"46","linear","NN + L2","0.075"
"46","linear","NN + Scale","0.05"
"46","linear","NN + Offset","0.075"
"46","xor","NN","0.275"
"46","xor","NN + L2","0.325"
"46","xor","NN + Scale","0.225"
"46","xor","NN + Offset","0.125"
"47","moons","NN","0.15"
"47","moons","NN + L2","0.125"
"47","moons","NN + Scale","0.125"
"47","moons","NN + Offset","0.125"
"47","circles","NN","0.5"
"47","circles","NN + L2","0.475"
"47","circles","NN + Scale","0.5"
"47","circles","NN + Offset","0.5"
"47","linear","NN","0.025"
"47","linear","NN + L2","0.025"
"47","linear","NN + Scale","0.025"
"47","linear","NN + Offset","0.075"
"47","xor","NN","0.275"
"47","xor","NN + L2","0.35"
"47","xor","NN + Scale","0.125"
"47","xor","NN + Offset","0.15"
"48","moons","NN","0.225"
"48","moons","NN + L2","0.25"
"48","moons","NN + Scale","0.25"
"48","moons","NN + Offset","0.25"
"48","circles","NN","0.425"
"48","circles","NN + L2","0.375"
"48","circles","NN + Scale","0.4"
"48","circles","NN + Offset","0.425"
"48","linear","NN","0.325"
"48","linear","NN + L2","0.325"
"48","linear","NN + Scale","0.325"
"48","linear","NN + Offset","0.3"
"48","xor","NN","0.425"
"48","xor","NN + L2","0.3"
"48","xor","NN + Scale","0.2"
"48","xor","NN + Offset","0.175"
"49","moons","NN","0.1"
"49","moons","NN + L2","0.1"
"49","moons","NN + Scale","0.075"
"49","moons","NN + Offset","0.1"
"49","circles","NN","0.55"
"49","circles","NN + L2","0.275"
"49","circles","NN + Scale","0.225"
"49","circles","NN + Offset","0.225"
"49","linear","NN","0.125"
"49","linear","NN + L2","0.125"
"49","linear","NN + Scale","0.15"
"49","linear","NN + Offset","0.15"
"49","xor","NN","0.125"
"49","xor","NN + L2","0.2"
"49","xor","NN + Scale","0.475"
"49","xor","NN + Offset","0.2"
"50","moons","NN","0.125"
